published_day,centered_score
2024-02-12,0.10510284370846218
2024-02-13,0.665503740310669
2024-02-14,0.24909895658493042
2024-02-15,-0.04164142608642578
2024-02-16,-0.2076943039894104
2024-02-19,0.49937909841537476
2024-02-20,-0.515609622001648
2024-02-21,-1.004131019115448
2024-02-22,0.24565142393112183
2024-02-23,0.7401563376188278
2024-02-24,0.9987245202064514
2024-02-25,-0.10140609741210938
2024-02-26,0.49714627116918564
2024-02-27,-0.5021689236164093
2024-02-28,0.49932920932769775
2024-02-29,0.1989551305770874
2024-03-01,-0.14572373458317348
2024-03-02,0.25474870204925537
2024-03-03,-1.0037962794303894
2024-03-04,0.09290954139497545
2024-03-05,-0.09967973083257675
2024-03-06,-0.4366901119550069
2024-03-08,0.9985229969024658
2024-03-10,0.9986408352851868
